video,domain,clip_id,start_seconds,end_seconds,duration_seconds,audio_path,video_url,vendor,vendor_model,language_hint,transcript_present,n_segments,words,chars,script_latin,script_arabic,script_other,uwr,trailing_3g,max_consec_rep,classification,notes
bbc_news,broadcast_news,clip01,347,454,107,audio/bbc_news/clip01.wav,https://www.youtube.com/watch?v=60IIS9dh0jk,elevenlabs,scribe_v1,som,True,276,276,1755,1.0,0.0,0.0,0.5761,2,2,surface-usable,
bbc_news,broadcast_news,clip01,347,454,107,audio/bbc_news/clip01.wav,https://www.youtube.com/watch?v=60IIS9dh0jk,whisper,"large-v3 (faster-whisper, local)",so,True,36,303,1770,1.0,0.0,0.0,0.5281,1,2,surface-usable,
bbc_news,broadcast_news,clip01,347,454,107,audio/bbc_news/clip01.wav,https://www.youtube.com/watch?v=60IIS9dh0jk,assemblyai,universal-2,so,True,100,100,515,0.0,1.0,0.0,0.567,2,9,cross-lingual misroute,
bbc_news,broadcast_news,clip01,347,454,107,audio/bbc_news/clip01.wav,https://www.youtube.com/watch?v=60IIS9dh0jk,deepgram,nova-2,multi (so rejected with 400),True,0,0,0,0.0,0.0,0.0,0.0,0,0,empty,
bbc_news,broadcast_news,clip02,74,134,60,audio/bbc_news/clip02.wav,https://www.youtube.com/watch?v=60IIS9dh0jk,elevenlabs,scribe_v1,som,True,136,136,819,1.0,0.0,0.0,0.7353,1,1,surface-usable,
bbc_news,broadcast_news,clip02,74,134,60,audio/bbc_news/clip02.wav,https://www.youtube.com/watch?v=60IIS9dh0jk,whisper,"large-v3 (faster-whisper, local)",so,True,17,138,854,1.0,0.0,0.0,0.7391,1,1,surface-usable,
bbc_news,broadcast_news,clip02,74,134,60,audio/bbc_news/clip02.wav,https://www.youtube.com/watch?v=60IIS9dh0jk,assemblyai,universal-2,so,True,98,98,718,0.0049,0.9951,0.0,0.3922,1,1,cross-lingual misroute,
bbc_news,broadcast_news,clip02,74,134,60,audio/bbc_news/clip02.wav,https://www.youtube.com/watch?v=60IIS9dh0jk,deepgram,nova-2,multi (so rejected with 400),True,0,0,0,0.0,0.0,0.0,0.0,0,0,empty,
bbc_news,broadcast_news,clip03,198,258,60,audio/bbc_news/clip03.wav,https://www.youtube.com/watch?v=60IIS9dh0jk,elevenlabs,scribe_v1,som,True,144,144,918,1.0,0.0,0.0,0.6875,1,1,surface-usable,
bbc_news,broadcast_news,clip03,198,258,60,audio/bbc_news/clip03.wav,https://www.youtube.com/watch?v=60IIS9dh0jk,whisper,"large-v3 (faster-whisper, local)",so,True,5,148,972,1.0,0.0,0.0,0.6689,1,1,surface-usable,
bbc_news,broadcast_news,clip03,198,258,60,audio/bbc_news/clip03.wav,https://www.youtube.com/watch?v=60IIS9dh0jk,assemblyai,universal-2,so,True,38,38,184,0.0,1.0,0.0,0.2895,6,8,cross-lingual misroute,
bbc_news,broadcast_news,clip03,198,258,60,audio/bbc_news/clip03.wav,https://www.youtube.com/watch?v=60IIS9dh0jk,deepgram,nova-2,multi (so rejected with 400),False,,,,,,,,,,not_run,Deepgram batch terminated after 3 hung calls; failure mode established on completed clips.
bbc_news,broadcast_news,clip04,513,573,60,audio/bbc_news/clip04.wav,https://www.youtube.com/watch?v=60IIS9dh0jk,elevenlabs,scribe_v1,som,True,151,151,976,1.0,0.0,0.0,0.7086,1,1,surface-usable,
bbc_news,broadcast_news,clip04,513,573,60,audio/bbc_news/clip04.wav,https://www.youtube.com/watch?v=60IIS9dh0jk,whisper,"large-v3 (faster-whisper, local)",so,True,32,142,929,1.0,0.0,0.0,0.7254,1,1,surface-usable,
bbc_news,broadcast_news,clip04,513,573,60,audio/bbc_news/clip04.wav,https://www.youtube.com/watch?v=60IIS9dh0jk,assemblyai,universal-2,so,True,106,106,583,0.0,1.0,0.0,0.3302,1,2,cross-lingual misroute,
